Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
46416,0,0,6.66273,74.08035,10.05834,71.01167,43.80741,0.00159414,205.65761
46416,0,0,6.59474,74.43587,10.62012,71.18162,43.98072,0.00156658,208.06336
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
100000,0,0,14.35231,161.2426,21.66993,154.00968,93.02794,0.00339405,444.38106
100000,0,0,14.26291,161.02967,22.9229,153.43579,94.34207,0.00350106,448.69164
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
215443,0,0,32.33572,350.02431,46.74146,332.75488,202.64684,0.0075692,964.68272
215443,0,0,31.92721,352.60582,45.18619,336.15744,200.62588,0.00754798,972.58392
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
215443,0,0,32.17548,350.03545,46.24823,332.36037,201.85756,0.00712182,962.84999
215443,0,0,31.94359,352.43337,44.79076,336.41341,199.1431,0.00732966,970.62682
